#Item  農業総産出額（億円）
"米" 17807
"麦類"	410
"雑穀"	48
"豆類"	641
"いも類"	1985
"果菜類"	9615
"葉茎菜類"	9467
"根菜類"	3451
"果実"	7588
"花き"	3485
"工芸農作物"	1849
"肉用牛"	5189
"乳用牛"	7780
"生乳"	6824
"豚"	5746
"鶏"	7842
"鶏卵"	4638
